URL histórica (Search Console al 3 septiembre),Destino preparado,Acción
https://agenciasnacionales.com/zapato-tipo-crocs-ref-178,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/categorias/epp,/categoria/epp/,Preparada en vercel.json
https://agenciasnacionales.com/gorro-quirurgico,/producto/gorro-quirurgico/,Preparada en vercel.json
https://agenciasnacionales.com/uniforme-epm-contratista,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/categorias/todas-los-productos,/producto/,Preparada en vercel.json
https://agenciasnacionales.com/zapato-tipo-crocs-ref-224,/producto/zapato-tipo-crocs-ref-224/,Preparada en vercel.json
https://agenciasnacionales.com/zapaton-machita-blanco,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/bombacho-hombre,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/zapato-t%C3%ADpo-crocs-ref-157,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/categorias/prendas-de-vestir,/categoria/uniformes-de-trabajo/,Preparada en vercel.json
https://agenciasnacionales.com/protector-de-copa-samuray,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/bota-seguridad-hibrida,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/categorias/botas-en-cuero,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/bota-soldador-inyectada,/producto/bota-soldador-inyectada/,Preparada en vercel.json
https://agenciasnacionales.com/pantal%C3%B3n-en-tela-supervertigo,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/kn95-pag,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/pantalon-dril-clasico-hombre-caqui,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/categorias/gorros-y-redecillas,/categoria/gorros-y-redecillas/,Preparada en vercel.json
https://agenciasnacionales.com/categorias/tenis-lona-y-sinteticos-venus,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/redecilla-larga-1-velillo-cristal,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/botin-gallarda-acidos-grasos,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/zapato-tipo-crocs-ref-242,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/categorias/uniformes-de-trabajo,/categoria/uniformes-de-trabajo/,Preparada en vercel.json
https://agenciasnacionales.com/tula-hospitalizaci%C3%B3n-verde,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
https://agenciasnacionales.com/guantes-en-cuero-tipo-ingeniero-sencillo,,Revisar referencia retirada o equivalencia; mantener 404 si no existe sustituto real
